 จำนวนรถที่จดทะเบียนสะสม  ณ  วันที่  31 มกราคม 2560 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Number of Vehicle Registered in Thailand as of 31 January 2017 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 (คัน : Unit) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ประเภทรถ , ทั่วประเทศ , กรุงเทพฯ , ส่วนภูมิภาค ,รวมภาคกลาง,ชัยนาท,สิงห์บุรี,ลพบุรี,อ่างทอง,สระบุรี, พระนครศรีอยุธยา,ปทุมธานี,นนทบุรี,สมุทรปราการ,รวมภาคตะวันออก,นครนายก,ปราจีนบุรี,ฉะเชิงเทรา,ชลบุรี,ระยอง,จันทบุรี,ตราด,สระแก้ว,รวมภาคตะวันออกเฉียงเหนือ,,ชัยภูมิ,ยโสธร,อุบลราชธานี,ศรีสะเกษ,บุรีรัมย์,นครราชสีมา,สุรินทร์,อำนาจเจริญ,หนองบัวลำภู,บึงกาฬ,หนองคาย,เลย,อุดรธานี,นครพนม,สกลนคร,ขอนแก่น,กาฬสินธุ์,มหาสารคาม,ร้อยเอ็ด,มุกดาหาร,รวมภาคเหนือ,เชียงราย,แม่ฮองสอน,เชียงใหม่,พะเยา,น่าน,ลำพูน,ลำปาง,แพร่,อุตรดิตถ์,สุโขทัย,ตาก,พิษณุโลก,กำแพงเพชร,พิจิตร,เพชรบูรณ์,นครสวรรค์,อุทัยธานี,รวมภาคตะวันตก,สุพรรณบุรี,กาญจนบุรี,นครปฐม,ราชบุรี,สมุทรสาคร,สมุทรสงคราม,เพชรบุรี,ประจวบคีรีขันธ์,รวมภาคใต้,ชุมพร,ระนอง,สุราษฎร์ธานี,พังงา,นครศรีธรรมราช,กระบี่,ภูเก็ต,พัทลุง,ตรัง,สงขลา,สตูล,ปัตตานี,ยะลา,นราธิวาส
 Type of Vehicle , Whole Kingdom , Bangkok , Regional ,Central,Chai Nat,Sing Buri,Lop Buri,Ang Thong,Saraburi,Ayuthaya,Pathum Thani,Nonthaburi,Samut Prakarn,Eastern,Nakhon Nayok,Prachin Buri,Chachoengsao,Chonburi,Rayong,Chanthaburi,Trad,Sra Kaew,North Eastern,,Chaiyaphum,Yasothon,Ubon Ratchathani,Si Sa Ket,Buri Rum,Nakhon Ratchasima,Surin,Amnat Charoen,Nong Bua Lamphu,Bueng Kan,Nong Khai,Loei,Udon Thani,Nakhon Phanom,Sakon Nakhon,Khon Kaen,Kalasin,Maha Sarakham,Roi Et,Mukdahan,Northern,Chiang Rai,Mae Hong Son,Chiang Mai,Phayao,nan,Lamphun,Lampang,Phrae,Uttaradit,Sukhothai,Tak,Phitsanulok,Kamphaeng Phet,Phichit,Phetchabun,Nakhon Sawan,Uthai Thani,Western,Suphan Buri,Khanchanaburi,Nakhon Pathom,Ratchaburi,Samut Sakorn,Samut Songkram,Petchaburi,Prachuap Kiri Khan,Southern,Chumphon,Ranong,Surat Thani,Pang Nga,Nakhon Si Thammarat,Krabi,Phuket,Phatthalung,Trang,Songkhla,Satun,Pattani,Yala,Narathiwat
 รวมทั้งสิ้น ," 37,410,537 "," 9,395,483 "," 28,015,054 "," 2,192,586 "," 171,954 "," 135,901 "," 413,076 "," 151,272 "," 419,506 "," 423,423 "," 147,816 "," 183,728 "," 145,910 "," 11,701,849 "," 124,301 "," 258,794 "," 382,755 "," 1,453,078 "," 694,159 "," 366,007 "," 131,252 "," 224,304 "," 8,067,199 ", -   ," 362,299 "," 204,629 "," 705,137 "," 390,537 "," 488,647 "," 1,302,234 "," 448,180 "," 121,456 "," 154,841 "," 102,453 "," 218,408 "," 260,719 "," 651,541 "," 214,033 "," 461,135 "," 824,734 "," 285,441 "," 325,163 "," 389,764 "," 155,848 "," 6,684,592 "," 707,205 "," 59,057 "," 1,368,084 "," 265,009 "," 226,802 "," 271,057 "," 449,005 "," 253,337 "," 255,158 "," 304,538 "," 223,550 "," 483,874 "," 353,232 "," 287,649 "," 445,059 "," 554,961 "," 177,015 "," 2,784,647 "," 482,511 "," 398,044 "," 467,252 "," 492,439 "," 231,506 "," 70,463 "," 317,081 "," 325,351 "," 4,651,380 "," 288,949 "," 85,118 "," 593,616 "," 121,644 "," 611,159 "," 243,752 "," 457,086 "," 244,445 "," 347,613 "," 811,565 "," 131,117 "," 219,965 "," 266,177 "," 229,174 "
 Grand Total ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ก. รวมรถตามกฎหมายว่าด้วยรถยนต์ ," 36,196,629 "," 9,213,389 "," 26,983,240 "," 2,034,001 "," 163,899 "," 130,705 "," 397,257 "," 145,523 "," 388,630 "," 400,448 "," 127,002 "," 165,614 "," 114,923 "," 11,271,185 "," 120,167 "," 247,683 "," 359,959 "," 1,401,662 "," 669,458 "," 357,653 "," 127,554 "," 213,949 "," 7,773,100 ", -   ," 342,550 "," 198,471 "," 685,343 "," 377,392 "," 469,265 "," 1,245,910 "," 430,630 "," 118,192 "," 146,619 "," 99,215 "," 212,561 "," 249,673 "," 628,772 "," 209,160 "," 451,952 "," 795,343 "," 272,485 "," 312,917 "," 375,471 "," 151,179 "," 6,501,365 "," 691,291 "," 57,924 "," 1,344,064 "," 258,036 "," 220,809 "," 266,582 "," 439,380 "," 247,193 "," 248,941 "," 294,076 "," 216,514 "," 469,829 "," 335,889 "," 278,329 "," 431,657 "," 530,312 "," 170,539 "," 2,644,656 "," 455,449 "," 379,714 "," 430,165 "," 474,484 "," 217,306 "," 67,094 "," 306,421 "," 314,023 "," 4,532,033 "," 282,023 "," 81,627 "," 575,053 "," 117,513 "," 595,908 "," 237,107 "," 445,654 "," 238,136 "," 340,397 "," 786,402 "," 128,551 "," 216,072 "," 261,681 "," 225,909 "
     Total Vehicle under Motor Vehicle Act ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     รย. 1 รถยนต์นั่งส่วนบุคคลไม่เกิน 7 คน Sedan (Not more than 7 Pass.) ," 8,238,818 "," 4,018,523 "," 4,220,295 "," 388,649 "," 23,521 "," 20,471 "," 68,792 "," 25,283 "," 68,454 "," 76,750 "," 27,927 "," 62,549 "," 14,902 "," 1,682,965 "," 21,185 "," 41,523 "," 55,788 "," 256,654 "," 137,732 "," 59,791 "," 13,845 "," 25,669 "," 1,070,778 ",," 34,017 "," 23,461 "," 100,794 "," 37,358 "," 45,132 "," 210,277 "," 44,978 "," 12,418 "," 15,920 "," 10,509 "," 26,815 "," 32,419 "," 96,758 "," 20,132 "," 50,330 "," 164,819 "," 35,181 "," 38,362 "," 49,845 "," 21,253 "," 997,183 "," 103,580 "," 2,424 "," 297,427 "," 32,038 "," 26,342 "," 28,140 "," 73,720 "," 34,859 "," 31,825 "," 32,244 "," 24,789 "," 94,512 "," 40,124 "," 26,772 "," 43,570 "," 81,268 "," 23,549 "," 340,494 "," 53,643 "," 56,282 "," 69,216 "," 62,082 "," 7,447 "," 7,970 "," 45,983 "," 37,871 "," 811,004 "," 35,028 "," 10,807 "," 109,445 "," 13,064 "," 99,091 "," 46,192 "," 106,944 "," 33,769 "," 51,736 "," 208,254 "," 16,083 "," 25,616 "," 34,141 "," 20,834 "
     รย. 2 รถยนต์นั่งส่วนบุคคลเกิน 7 คน Microbus & Passenger Van ," 421,955 "," 210,558 "," 211,397 "," 28,614 "," 1,254 "," 1,293 "," 3,766 "," 1,394 "," 3,491 "," 4,785 "," 3,787 "," 6,059 "," 2,785 "," 86,655 "," 1,437 "," 2,659 "," 3,650 "," 10,265 "," 5,201 "," 2,697 ", 976 ," 1,754 "," 58,016 ",," 2,656 "," 1,681 "," 4,727 "," 3,139 "," 3,178 "," 9,429 "," 3,344 ", 905 , 797 , 555 ," 1,621 "," 1,806 "," 4,803 "," 1,477 "," 3,358 "," 6,280 "," 2,571 "," 2,121 "," 2,559 "," 1,009 "," 48,753 "," 5,477 ", 519 ," 12,111 "," 1,575 "," 1,327 "," 2,214 "," 4,092 "," 1,547 "," 1,864 "," 2,227 "," 1,854 "," 3,611 "," 1,828 "," 1,733 "," 2,217 "," 3,504 "," 1,053 "," 19,411 "," 3,555 "," 2,864 "," 3,828 "," 3,367 ", 942 , 623 ," 2,419 "," 1,813 "," 27,964 "," 1,380 ", 586 ," 3,753 ", 755 ," 3,454 "," 1,672 "," 3,072 "," 1,130 "," 1,484 "," 5,872 ", 768 ," 1,422 "," 1,381 "," 1,235 "
     รย. 3 รถยนต์บรรทุกส่วนบุคคล Van & Pick Up ," 6,290,306 "," 1,285,199 "," 5,005,107 "," 385,896 "," 31,979 "," 22,103 "," 74,484 "," 29,767 "," 70,809 "," 70,242 "," 29,734 "," 40,145 "," 16,633 "," 2,142,883 "," 23,787 "," 50,906 "," 68,833 "," 187,564 "," 121,030 "," 85,019 "," 23,421 "," 47,252 "," 1,535,071 ",," 65,115 "," 42,523 "," 133,954 "," 81,938 "," 80,951 "," 231,267 "," 73,453 "," 24,357 "," 35,807 "," 17,986 "," 37,785 "," 61,874 "," 117,122 "," 31,762 "," 82,204 "," 176,938 "," 68,171 "," 63,610 "," 78,091 "," 30,163 "," 1,234,568 "," 131,735 "," 6,952 "," 234,556 "," 50,548 "," 48,295 "," 59,433 "," 87,537 "," 50,265 "," 42,640 "," 53,820 "," 40,307 "," 85,445 "," 67,903 "," 48,699 "," 94,926 "," 97,512 "," 33,995 "," 489,351 "," 93,421 "," 74,507 "," 98,225 "," 82,492 "," 11,263 "," 11,988 "," 55,115 "," 62,340 "," 752,409 "," 74,710 "," 15,227 "," 117,422 "," 17,533 "," 109,345 "," 51,529 "," 42,408 "," 39,795 "," 54,486 "," 126,157 "," 16,004 "," 32,101 "," 33,307 "," 22,385 "
     รย. 4 รถยนต์สามล้อส่วนบุคคล Motortricycle ," 1,640 ", 853 , 787 , 357 , -   , -   , 7 , -   , 1 , 7 , 3 , 319 , 20 , 90 , -   , -   , 1 , 30 , 2 , 9 , 2 , -   , 46 ,, 1 , -   , 17 , -   , 1 , 14 , -   , -   , -   , -   , -   , -   , 6 , 1 , -   , 3 , -   , -   , 1 , 2 , 163 , 5 , -   , 61 , 18 , -   , 2 , 2 , 1 , 4 , 1 , 4 , 51 , -   , 3 , 7 , 4 , -   , 35 , 5 , 4 , 11 , 1 , 3 , 1 , 6 , 4 , 142 , 2 , -   , 7 , 2 , 11 , 9 , 9 , 3 , 66 , 28 , 2 , 2 , 1 , -   
     รย. 5 รถยนต์รับจ้างระหว่างจังหวัด Interprovincial Taxi , 2 , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   , -   , -   , -   , 2 , -   , -   , -   , -   , -   
